"","Name","Season","g","gs","mp_per_g","fg_per_g","fga_per_g","fg_pct","fg2_per_g","fg2a_per_g","fg2_pct","fg3_per_g","fg3a_per_g","fg3_pct","ft_per_g","fta_per_g","ft_pct","orb_per_g","drb_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","tov_per_g","pf_per_g","pts_per_g","sos-dum","sos","mp","fg","fga","fg2","fg2a","fg3","fg3a","ft","fta","orb","drb","trb","ast","stl","blk","tov","pf","pts","fg_per_min","fga_per_min","fg2_per_min","fg2a_per_min","fg3_per_min","fg3a_per_min","ft_per_min","fta_per_min","trb_per_min","ast_per_min","stl_per_min","blk_per_min","tov_per_min","pf_per_min","pts_per_min","fg_per_poss","fga_per_poss","fg2_per_poss","fg2a_per_poss","fg3_per_poss","fg3a_per_poss","ft_per_poss","fta_per_poss","trb_per_poss","ast_per_poss","stl_per_poss","blk_per_poss","tov_per_poss","pf_per_poss","pts_per_poss","poss-dum","off_rtg","def_rtg","per","ts_pct","efg_pct","fg3a_per_fga_pct","fta_per_fga_pct","pprod","orb_pct","drb_pct","trb_pct","ast_pct","stl_pct","blk_pct","tov_pct","usg_pct","ws-dum","ows","dws","ws","ws_per_40","bpm-dum","obpm","dbpm","bpm","g.conf","gs.conf","mp_per_g.conf","fg_per_g.conf","fga_per_g.conf","fg_pct.conf","fg2_per_g.conf","fg2a_per_g.conf","fg2_pct.conf","fg3_per_g.conf","fg3a_per_g.conf","fg3_pct.conf","ft_per_g.conf","fta_per_g.conf","ft_pct.conf","orb_per_g.conf","drb_per_g.conf","trb_per_g.conf","ast_per_g.conf","stl_per_g.conf","blk_per_g.conf","tov_per_g.conf","pf_per_g.conf","pts_per_g.conf","mp.conf","fg.conf","fga.conf","fg2.conf","fg2a.conf","fg3.conf","fg3a.conf","ft.conf","fta.conf","orb.conf","drb.conf","trb.conf","ast.conf","stl.conf","blk.conf","tov.conf","pf.conf","pts.conf","fg_per_min.conf","fga_per_min.conf","fg2_per_min.conf","fg2a_per_min.conf","fg3_per_min.conf","fg3a_per_min.conf","ft_per_min.conf","fta_per_min.conf","trb_per_min.conf","ast_per_min.conf","stl_per_min.conf","blk_per_min.conf","tov_per_min.conf","pf_per_min.conf","pts_per_min.conf","fg_per_poss.conf","fga_per_poss.conf","fg2_per_poss.conf","fg2a_per_poss.conf","fg3_per_poss.conf","fg3a_per_poss.conf","ft_per_poss.conf","fta_per_poss.conf","trb_per_poss.conf","ast_per_poss.conf","stl_per_poss.conf","blk_per_poss.conf","tov_per_poss.conf","pf_per_poss.conf","pts_per_poss.conf","poss-dum.conf","off_rtg.conf","def_rtg.conf","per.conf","ts_pct.conf","efg_pct.conf","fg3a_per_fga_pct.conf","fta_per_fga_pct.conf","pprod.conf","orb_pct.conf","drb_pct.conf","trb_pct.conf","ast_pct.conf","stl_pct.conf","blk_pct.conf","tov_pct.conf","usg_pct.conf","ws-dum.conf","ows.conf","dws.conf","ws.conf","ws_per_40.conf","bpm-dum.conf","obpm.conf","dbpm.conf","bpm.conf","awards-dum","awards"
"1","John Petty",2019,26,12,28.3,3.8,8.7,0.436,2,3.6,0.559,1.8,5.2,0.351,1.6,2.2,0.732,0.6,3.4,4,1.7,0.5,0.5,1.8,1,11,NA,8.67,735,99,227,52,93,47,134,41,56,16,88,104,45,12,14,48,27,286,5.4,12.4,2.8,5.1,2.6,7.3,2.2,3,5.7,2.4,0.7,0.8,2.6,1.5,15.6,7.7,17.6,4,7.2,3.7,10.4,3.2,4.4,8.1,3.5,0.9,1.1,3.7,2.1,22.2,NA,107.6,106,15,0.564,0.54,0.59,0.247,265,2.5,13.3,8,12.1,0.9,1.9,15.9,20.3,NA,1.1,0.8,1.9,0.103,NA,3.1,1.2,4.3,13,1,26.5,4.2,8.7,0.487,2.3,3.8,0.6,1.9,4.8,0.397,1.2,1.7,0.727,0.5,2.6,3.2,1.6,0.5,0.7,1.7,0.9,11.6,344,55,113,30,50,25,63,16,22,7,34,41,21,7,9,22,12,151,6.4,13.1,3.5,5.8,2.9,7.3,1.9,2.6,4.8,2.4,0.8,1,2.6,1.4,17.6,9.2,18.9,5,8.4,4.2,10.5,2.7,3.7,6.9,3.5,1.2,1.5,3.7,2,25.3,NA,113.6,107.7,18.7,0.612,0.597,0.558,0.195,136,2.3,11,6.7,13.1,1.2,2.6,15.1,21.2,NA,0.8,0.3,1,0.121,NA,NA,NA,NA,NA,NA
"2","John Petty",2018,36,29,28.5,3.4,8.7,0.393,0.9,2,0.465,2.5,6.7,0.372,0.9,1.3,0.711,0.4,2.2,2.6,1.8,0.5,0.3,2.1,1,10.2,NA,10.64,1026,123,313,33,71,90,242,32,45,14,78,92,65,17,9,74,36,368,4.8,12.2,1.3,2.8,3.5,9.4,1.2,1.8,3.6,2.5,0.7,0.4,2.9,1.4,14.3,6.8,17.4,1.8,3.9,5,13.4,1.8,2.5,5.1,3.6,0.9,0.5,4.1,2,20.4,NA,100.2,107.5,11,0.55,0.537,0.773,0.144,339,1.6,8.1,5,12.4,0.9,1,18.1,19.9,NA,0.8,1,1.8,0.07,NA,2.5,0.1,2.6,13,1,26.5,4.2,8.7,0.487,2.3,3.8,0.6,1.9,4.8,0.397,1.2,1.7,0.727,0.5,2.6,3.2,1.6,0.5,0.7,1.7,0.9,11.6,344,55,113,30,50,25,63,16,22,7,34,41,21,7,9,22,12,151,6.4,13.1,3.5,5.8,2.9,7.3,1.9,2.6,4.8,2.4,0.8,1,2.6,1.4,17.6,9.2,18.9,5,8.4,4.2,10.5,2.7,3.7,6.9,3.5,1.2,1.5,3.7,2,25.3,NA,113.6,107.7,18.7,0.612,0.597,0.558,0.195,136,2.3,11,6.7,13.1,1.2,2.6,15.1,21.2,NA,0.8,0.3,1,0.121,NA,NA,NA,NA,NA,NA
"3","Alex Reese",2019,24,0,12.6,1.7,4.4,0.387,1,2.2,0.453,0.7,2.2,0.321,1.4,1.8,0.791,0.8,1.4,2.2,0.5,0.4,0.5,0.8,1,5.5,NA,8.67,303,41,106,24,53,17,53,34,43,19,33,52,11,9,11,20,25,133,5.4,14,3.2,7,2.2,7,4.5,5.7,6.9,1.5,1.2,1.5,2.6,3.3,17.6,7.7,20,4.5,10,3.2,10,6.4,8.1,9.8,2.1,1.7,2.1,3.8,4.7,25.1,NA,106.7,103.5,17.1,0.526,0.467,0.5,0.406,127,7.2,12.1,9.7,7.2,1.7,3.7,13.7,23.9,NA,0.5,0.4,0.9,0.119,NA,1.9,1.2,3.1,11,0,10.7,1.2,3.5,0.342,0.6,1.8,0.35,0.5,1.6,0.333,1,1.3,0.786,0.7,1.4,2.1,0.2,0,0.7,0.7,1,3.9,118,13,38,7,20,6,18,11,14,8,15,23,2,0,8,8,11,43,4.4,12.9,2.4,6.8,2,6.1,3.7,4.7,7.8,0.7,0,2.7,2.7,3.7,14.6,6.3,18.5,3.4,9.8,2.9,8.8,5.4,6.8,11.2,1,0,3.9,3.9,5.4,21,NA,96.5,106.3,12.8,0.482,0.421,0.474,0.368,42,7.8,14.1,11,3.3,0,6.8,15.2,22.4,NA,0.1,0.1,0.2,0.062,NA,NA,NA,NA,NA,NA
"4","Alex Reese",2018,32,1,11.6,1.4,3.7,0.39,0.7,1.4,0.5,0.8,2.3,0.324,0.3,0.4,0.786,0.7,2.1,2.8,0.3,0.5,0.2,0.7,1,4,NA,10.64,370,46,118,22,44,24,74,11,14,22,67,89,9,15,7,21,33,127,5,12.8,2.4,4.8,2.6,8,1.2,1.5,9.6,1,1.6,0.8,2.3,3.6,13.7,7.1,18.2,3.4,6.8,3.7,11.4,1.7,2.2,13.7,1.4,2.3,1.1,3.2,5.1,19.5,NA,99.5,98.4,13.9,0.509,0.492,0.627,0.119,119,7,19.4,13.5,4.8,2.3,2.1,14.4,19.7,NA,0.3,0.7,0.9,0.101,NA,0.5,1.5,2,11,0,10.7,1.2,3.5,0.342,0.6,1.8,0.35,0.5,1.6,0.333,1,1.3,0.786,0.7,1.4,2.1,0.2,0,0.7,0.7,1,3.9,118,13,38,7,20,6,18,11,14,8,15,23,2,0,8,8,11,43,4.4,12.9,2.4,6.8,2,6.1,3.7,4.7,7.8,0.7,0,2.7,2.7,3.7,14.6,6.3,18.5,3.4,9.8,2.9,8.8,5.4,6.8,11.2,1,0,3.9,3.9,5.4,21,NA,96.5,106.3,12.8,0.482,0.421,0.474,0.368,42,7.8,14.1,11,3.3,0,6.8,15.2,22.4,NA,0.1,0.1,0.2,0.062,NA,NA,NA,NA,NA,NA
"5","Garrison Brooks",2019,26,26,22.5,3.5,6.1,0.57,3.5,6.1,0.57,0,0,NA,1.5,2.3,0.661,2.5,3.7,6.2,1.4,0.7,0.5,0.9,2.8,8.4,NA,10.67,585,90,158,90,158,0,0,39,59,65,97,162,37,17,13,24,72,219,6.2,10.8,6.2,10.8,0,0,2.7,4,11.1,2.5,1.2,0.9,1.6,4.9,15,8,14.1,8,14.1,0,0,3.5,5.3,14.4,3.3,1.5,1.2,2.1,6.4,19.5,NA,125.7,96.4,19.2,0.589,0.57,0,0.373,229,12,16.7,14.5,10,1.5,2.4,11.4,16,NA,1.6,1.1,2.7,0.187,NA,4.5,4.8,9.3,13,13,26.2,3.5,5.9,0.584,3.5,5.9,0.584,0,0,NA,1.1,1.7,0.636,2.5,4.2,6.7,2.1,0.7,0.4,0.5,2.7,8,340,45,77,45,77,0,0,14,22,33,54,87,27,9,5,7,35,104,5.3,9.1,5.3,9.1,0,0,1.6,2.6,10.2,3.2,1.1,0.6,0.8,4.1,12.2,7.1,12.2,7.1,12.2,0,0,2.2,3.5,13.8,4.3,1.4,0.8,1.1,5.5,16.4,NA,136,99.9,18.7,0.595,0.584,0,0.286,114,10.5,16.5,13.6,12.5,1.4,1.6,7.4,12.8,NA,1,0.5,1.5,0.177,NA,NA,NA,NA,NA,NA
"6","Garrison Brooks",2018,37,16,14.6,1.8,3.3,0.528,1.8,3.3,0.528,0,0,NA,1,1.7,0.587,1.6,1.8,3.5,0.5,0.3,0.3,0.9,1.8,4.5,NA,11.78,540,65,123,65,123,0,0,37,63,61,67,128,20,11,11,33,68,167,4.8,9.1,4.8,9.1,0,0,2.7,4.7,9.5,1.5,0.8,0.8,2.4,5,12.4,6.7,12.7,6.7,12.7,0,0,3.8,6.5,13.2,2.1,1.1,1.1,3.4,7,17.2,NA,109.7,105.1,13.8,0.546,0.528,0,0.512,175,12.3,12.9,12.6,5.9,1.1,2.2,17.7,16,NA,0.8,0.7,1.4,0.104,NA,1.4,2.5,3.9,13,13,26.2,3.5,5.9,0.584,3.5,5.9,0.584,0,0,NA,1.1,1.7,0.636,2.5,4.2,6.7,2.1,0.7,0.4,0.5,2.7,8,340,45,77,45,77,0,0,14,22,33,54,87,27,9,5,7,35,104,5.3,9.1,5.3,9.1,0,0,1.6,2.6,10.2,3.2,1.1,0.6,0.8,4.1,12.2,7.1,12.2,7.1,12.2,0,0,2.2,3.5,13.8,4.3,1.4,0.8,1.1,5.5,16.4,NA,136,99.9,18.7,0.595,0.584,0,0.286,114,10.5,16.5,13.6,12.5,1.4,1.6,7.4,12.8,NA,1,0.5,1.5,0.177,NA,NA,NA,NA,NA,NA
"7","Herb Jones",2019,26,25,21.4,2.2,5.2,0.425,2.1,4.7,0.446,0.1,0.5,0.231,1.6,3.3,0.494,1.2,2.5,3.7,2,0.9,0.6,1.8,2.9,6.1,NA,8.67,557,57,134,54,121,3,13,42,85,31,65,96,51,23,15,48,76,159,4.1,9.6,3.9,8.7,0.2,0.9,3,6.1,6.9,3.7,1.7,1.1,3.4,5.5,11.4,5.8,13.7,5.5,12.4,0.3,1.3,4.3,8.7,9.8,5.2,2.4,1.5,4.9,7.8,16.3,NA,91.3,102,11.2,0.456,0.437,0.097,0.634,181,6.4,13,9.7,17,2.4,2.7,21.6,19.7,NA,0,0.8,0.8,0.058,NA,-1.2,4,2.7,13,12,19.2,2.1,4.2,0.491,2.1,4.1,0.509,0,0.2,0,1.3,2.4,0.548,1.2,1.8,3,2,0.7,0.4,1.7,2.6,5.5,250,27,55,27,53,0,2,17,31,15,24,39,26,9,5,22,34,71,4.3,8.8,4.3,8.5,0,0.3,2.7,5,6.2,4.2,1.4,0.8,3.5,5.4,11.4,6.2,12.7,6.2,12.2,0,0.5,3.9,7.1,9,6,2.1,1.2,5.1,7.8,16.4,NA,97.6,105.7,12.7,0.509,0.491,0.036,0.564,83,6.9,10.7,8.8,20,2.1,2,24,18.4,NA,0.2,0.2,0.4,0.067,NA,NA,NA,NA,NA,NA
"8","Herb Jones",2018,35,13,21.2,1.7,4.1,0.408,1.5,3.3,0.44,0.2,0.7,0.269,0.7,1.4,0.5,0.8,2.7,3.5,1.4,1.3,0.6,1.6,2.7,4.2,NA,10.64,741,58,142,51,116,7,26,24,48,29,93,122,48,44,22,56,94,147,3.1,7.7,2.8,6.3,0.4,1.4,1.3,2.6,6.6,2.6,2.4,1.2,3,5.1,7.9,4.5,10.9,3.9,8.9,0.5,2,1.8,3.7,9.4,3.7,3.4,1.7,4.3,7.2,11.3,NA,83.1,97.8,8.8,0.446,0.433,0.183,0.338,165,4.3,13.7,9.2,11.7,3.4,3.3,25.2,15,NA,-0.5,1.4,0.9,0.05,NA,-2.2,6,3.8,13,12,19.2,2.1,4.2,0.491,2.1,4.1,0.509,0,0.2,0,1.3,2.4,0.548,1.2,1.8,3,2,0.7,0.4,1.7,2.6,5.5,250,27,55,27,53,0,2,17,31,15,24,39,26,9,5,22,34,71,4.3,8.8,4.3,8.5,0,0.3,2.7,5,6.2,4.2,1.4,0.8,3.5,5.4,11.4,6.2,12.7,6.2,12.2,0,0.5,3.9,7.1,9,6,2.1,1.2,5.1,7.8,16.4,NA,97.6,105.7,12.7,0.509,0.491,0.036,0.564,83,6.9,10.7,8.8,20,2.1,2,24,18.4,NA,0.2,0.2,0.4,0.067,NA,NA,NA,NA,NA,NA
"9","Kevion Nolan",2019,24,0,19,2.4,4.9,0.492,0.9,2,0.447,1.5,3,0.521,1,1.3,0.774,0.2,1.7,1.9,1.4,0.7,0.1,0.9,1.7,7.4,NA,-2.44,455,58,118,21,47,37,71,24,31,4,41,45,34,16,2,21,41,177,5.1,10.4,1.8,4.1,3.3,6.2,2.1,2.7,4,3,1.4,0.2,1.8,3.6,15.6,7.1,14.5,2.6,5.8,4.6,8.7,3,3.8,5.5,4.2,2,0.2,2.6,5.1,21.8,NA,125.1,105.6,17,0.667,0.648,0.602,0.263,162,1.1,9.2,5.5,13.4,2,0.5,13.7,16.9,NA,1.2,0.5,1.7,0.149,NA,3.4,-1.2,2.2,11,0,16,2,3.9,0.512,0.5,1.3,0.429,1.5,2.6,0.552,0.8,1.2,0.692,0.2,1,1.2,0.6,0.4,0.1,0.5,1.6,6.3,176,22,43,6,14,16,29,9,13,2,11,13,7,4,1,6,18,69,5,9.8,1.4,3.2,3.6,6.6,2,3,3,1.6,0.9,0.2,1.4,4.1,15.7,6.9,13.6,1.9,4.4,5,9.1,2.8,4.1,4.1,2.2,1.3,0.3,1.9,5.7,21.8,NA,129,114.2,15.7,0.702,0.698,0.674,0.302,58,1.4,6.7,4.2,7,1.3,0.7,10.9,15.7,NA,0.5,0,0.5,0.113,NA,NA,NA,NA,NA,NA
"10","Kevion Nolan",2018,29,1,12.8,1.2,3,0.391,0.5,0.9,0.538,0.7,2.1,0.328,0.2,0.2,0.714,0.2,0.9,1,0.9,0.7,0.1,0.3,1,3.2,NA,-3.37,371,34,87,14,26,20,61,5,7,5,25,30,27,20,4,10,28,93,3.7,9.4,1.5,2.8,2.2,6.6,0.5,0.8,3.2,2.9,2.2,0.4,1.1,3,10,5.1,13.1,2.1,3.9,3,9.2,0.8,1.1,4.5,4.1,3,0.6,1.5,4.2,14,NA,107.7,116.1,11.4,0.515,0.506,0.701,0.08,93,1.6,8,4.9,12.4,3,1.3,10,13.5,NA,0.4,0.1,0.4,0.047,NA,0,-2.4,-2.4,11,0,16,2,3.9,0.512,0.5,1.3,0.429,1.5,2.6,0.552,0.8,1.2,0.692,0.2,1,1.2,0.6,0.4,0.1,0.5,1.6,6.3,176,22,43,6,14,16,29,9,13,2,11,13,7,4,1,6,18,69,5,9.8,1.4,3.2,3.6,6.6,2,3,3,1.6,0.9,0.2,1.4,4.1,15.7,6.9,13.6,1.9,4.4,5,9.1,2.8,4.1,4.1,2.2,1.3,0.3,1.9,5.7,21.8,NA,129,114.2,15.7,0.702,0.698,0.674,0.302,58,1.4,6.7,4.2,7,1.3,0.7,10.9,15.7,NA,0.5,0,0.5,0.113,NA,NA,NA,NA,NA,NA
