"National.Ranking","Name","Position","Hometown.High.School","Height","Weight","Rating","School","player.id","bball.ref.link"
"1","Josh Langford","SG","Huntsville, ALMadison Academy","6'6''","205","93","Michigan St","josh-langford","https://www.sports-reference.com/cbb/players/josh-langford-1.html"
"2","Austin Wiley","C","Birmingham, ALSpain Park High School","6'9''","250","92","Auburn","austin-wiley","https://www.sports-reference.com/cbb/players/austin-wiley-1.html"
"3","Reggie Todd","SG","Mobile, ALLeFlore Magnet High School","6'4''","180","78","New Mexico St","reggie-todd","https://www.sports-reference.com/cbb/players/reggie-todd-1.html"
"4","E.J. Datcher","C","Vincent, ALVincent High School","6'8''","235","73","Miss. St","ej-datcher","https://www.sports-reference.com/cbb/players/ej-datcher-1.html"
"1","Mitch Lightfoot","PF","Gilbert, AZGilbert Christian High School","6'8''","210","83","Kansas","mitch-lightfoot","https://www.sports-reference.com/cbb/players/mitch-lightfoot-1.html"
"2","Markus Howard","SG","Chandler, AZFindlay College Prep","6'0''","178","82","Marquette","markus-howard","https://www.sports-reference.com/cbb/players/markus-howard-1.html"
"3","Cameron Satterwhite","SG","Gilbert, AZGilbert Christian High School","6'3''","170","75","Loyola-Chicago","cameron-satterwhite","https://www.sports-reference.com/cbb/players/cameron-satterwhite-1.html"
"4","J.J. Rhymes","SG","Phoenix, AZShadow Mountain High School","6'4''","185","75","unknown","jj-rhymes","https://www.sports-reference.com/cbb/players/jj-rhymes-1.html"
"5","Wyatt Lowell","C","Gilbert, AZWilliams Field High School","6'10''","205","73","Utah Valley","wyatt-lowell","https://www.sports-reference.com/cbb/players/wyatt-lowell-1.html"
"6","Elijah Thomas","SF","Peoria, AZSunrise Mountain High School","6'5''","205","73","St Mary's","elijah-thomas","https://www.sports-reference.com/cbb/players/elijah-thomas-1.html"
"7","Klay Stall","PF","Chandler, AZBasha High School","6'9''","225","70","Utah State","klay-stall","https://www.sports-reference.com/cbb/players/klay-stall-1.html"
"8","Brock Gardner","SF","Chandler, AZTri-City Christian Academy","6'7''","210","70","Liberty","brock-gardner","https://www.sports-reference.com/cbb/players/brock-gardner-1.html"
"9","Mike Bibby Jr.","PG","Phoenix, AZShadow Mountain High School","6'3''","175","70","S Florida","mike-bibbyjr","https://www.sports-reference.com/cbb/players/mike-bibbyjr-1.html"
"10","Devin Kirby","PF","Chandler, AZBasha High School","6'9''","195","69","Montana St","devin-kirby","https://www.sports-reference.com/cbb/players/devin-kirby-1.html"
"11","Tim Fuller","PF","Gilbert, AZHighland High School","6'9''","210","63","Weber State","tim-fuller","https://www.sports-reference.com/cbb/players/tim-fuller-1.html"
"12","Chris Bowling","SF","Gilbert, AZGilbert High School","6'6''","165","60","unknown","chris-bowling","https://www.sports-reference.com/cbb/players/chris-bowling-1.html"
"13","Malik Ondigo","PF","El Mirage, AZDysart High School","6'9''","205","60","unknown","malik-ondigo","https://www.sports-reference.com/cbb/players/malik-ondigo-1.html"
"14","Seth Meyers","SF","Phoenix, AZPinnacle High School","6'7''","180","59","unknown","seth-meyers","https://www.sports-reference.com/cbb/players/seth-meyers-1.html"
"15","Bryce Fisher","PG","Chandler, AZPerry High School","6'0''","155","59","unknown","bryce-fisher","https://www.sports-reference.com/cbb/players/bryce-fisher-1.html"
"16","Tyrell Henderson","SG","Tempe, AZCorona Del Sol High School","6'3''","165","59","Portland St","tyrell-henderson","https://www.sports-reference.com/cbb/players/tyrell-henderson-1.html"
"1","Malik Monk","SG","Bentonville, ARBentonville High School","6'3''","185","96","Kentucky","malik-monk","https://www.sports-reference.com/cbb/players/malik-monk-1.html"
"2","Eric Curry","PF","Little Rock, ARSouthwest Christian Academy","6'7''","195","79","Minnesota","eric-curry","https://www.sports-reference.com/cbb/players/eric-curry-1.html"
"3","Mitchell Smith","C","Van Buren, ARVan Buren High School","6'9''","190","79","Missouri","mitchell-smith","https://www.sports-reference.com/cbb/players/mitchell-smith-1.html"
"4","Payton Willis","SG","Fayetteville, ARFayetteville High School","6'3''","165","77","Vanderbilt","payton-willis","https://www.sports-reference.com/cbb/players/payton-willis-1.html"
"5","Andre Jones","SF","Little Rock, ARMalvern High School","6'4''","185","74","Little Rock","andre-jones","https://www.sports-reference.com/cbb/players/andre-jones-1.html"
"1","Lonzo Ball","PG","Chino Hills, CAChino Hills High School","6'5''","195","96","UCLA","lonzo-ball","https://www.sports-reference.com/cbb/players/lonzo-ball-1.html"
