"","#","Name","GP","GS","MIN","MPG"
"1",10,"Andre Banton",2,0,26,13
"2",11,"Hudson Urbanus",2,0,38,19
"3",20,"Jahmai George",2,0,31,15.5
"4",21,"Charles Minlend",2,0,55,27.5
"5",22,"Josh Brown",2,0,49,24.5
"6",24,"Lewis Freeman",2,0,49,24.5
"7",25,"Marcus Larsson",2,0,14,7
"8",30,"Corey Douglas",2,0,52,26
"9",40,"Taylor Sweeney",2,0,30,15
"10",41,"Grant Clarke",2,0,15,7.5
"11",42,"Malik Kuwornu",2,0,33,16.5
"12",43,"Eddie Johnson-Clayton",1,0,9,9
"13",1,"Javonte Smart",1,0,0,0
"14",2,"Jandan Duggan",2,0,16,8
"15",4,"Justin Forrest",2,2,58,29
"16",5,"Precious Ayah",2,2,50,25
"17",10,"John Ogwuche",2,2,60,30
"18",12,"Victor Enoh",2,1,56,28
"19",23,"Abayomi Iyiola",2,2,25,12.5
"20",24,"Mohammed Abdulsalem",2,0,27,13.5
"21",1,"Jared Bowens",1,0,4,4
"22",3,"Mitchell Evans",1,0,15,15
"23",21,"Ikey Obiagu",1,1,9,9
"24",1,"Brandon McCarver",1,1,18,18
"25",2,"Brandon Crosby",1,0,20,20
"26",10,"Jarius Grayson",1,1,30,30
"27",15,"Justin Hopkins",1,1,24,24
"28",23,"John Petty",1,1,27,27
"29",NA,"Devonte Lanier",1,1,27,27
"30",2,"Trendon Watford",1,0,25,25
"31",4,"Nate Williams",2,0,15,7.5
"32",5,"Max Edwards",2,0,10,5
"33",6,"Jakub Jokl",2,0,14,7
"34",7,"Lars Kroshoff",2,0,26,13
"35",8,"Emil Onowasu",2,1,54,27
"36",9,"Alexander Strating",2,0,35,17.5
"37",11,"Luca Ngussen",2,0,16,8
"38",12,"Issa Thiam",2,1,58,29
"39",13,"Ivan Aurecochea",2,1,58,29
"40",15,"Karbala Gueye",2,1,33,16.5
"41",22,"Serguy Primak",2,1,60,30
"42",10,"Daan Viannen",1,0,7,7
"43",23,"Javier Menedez",1,0,6,6
"44",34,"Milan Stakic",1,0,4,4
"45",1,"John Sessums",1,1,20,20
"46",5,"Bernard Jones",1,1,25,25
"47",12,"Jalen Matthews",1,1,30,30
"48",14,"Jaylen Johnson",1,1,33,33
"49",15,"Robert Guyton",1,1,24,24
"50",10,"Jay Williams",1,0,11,11
"51",24,"Mike Green",1,0,17,17
"52",NA,"Shamorie Ponds",3,2,94,31.3
"53",NA,"Curtis Smith",3,3,82,27.3
"54",NA,"Rasheen Dunn",2,1,60,30
"55",NA,"Malachi Faison",1,0,27,27
"56",NA,"KeRome Grant",1,1,8,8
"57",NA,"Marquis Watson",1,0,25,25
"58",NA,"Jamorie Lewis",1,0,3,3
"59",NA,"Tyrie Mitchell",1,0,3,3
"60",NA,"Deante Bridgett",1,0,2,2
"61",NA,"Jordan Morgan",1,0,5,5
"62",NA,"Eric Massingale",1,0,5,5
"63",NA,"Drue Drinnon",1,1,32,32
"64",NA,"Travis Anderson",1,1,28,28
"65",NA,"Danny Lewis",1,0,0,0
"66",NA,"Chuma Okeke",1,0,0,0
"67",NA,"Jamie Lewis",1,0,0,0
"68",NA,"Dimencio Vaughn",1,1,35,35
"69",NA,"Andre Garcia",1,1,18,18
"70",10,"Kaleb Main",1,1,18,18
"71",23,"Samuel Ibiezugbe",1,1,34,34
"72",3,"CJ Donaldson",1,1,33,33
"73",1,"Ben Eke",1,0,23,23
"74",11,"DaRon Hughey",1,0,23,23
"75",5,"Josh Moncrieffe",1,0,7,7
"76",3,"Robert Martin Jr.",1,1,40,40
"77",4,"Brett Hanson",1,1,39,39
"78",11,"Marcus Zegarowski",1,1,32,32
"79",31,"Kyle Wright",1,1,24,24
"80",33,"Ryan Layman",1,1,28,28
"81",1,"Sarju Patel",1,0,18,18
"82",5,"Phil Edwards",1,0,11,11
"83",25,"Max Zegarowski",1,0,7,7
"84",25,"Adam Saeed",2,0,2,1
"85",11,"Alex Torres",1,0,31,31
"86",13,"Jordan Giles",1,0,27,27
"87",24,"Romani Hansen",1,0,28,28
"88",33,"Aaron Anderson",1,0,18,18
"89",NA,"Andrew Anderson",1,0,11,11
"90",10,"Carlos Adair",1,0,13,13
"91",12,"T Ross-Patterson",1,0,1,1
"92",22,"Schneider Casseus",1,0,7,7
"93",NA,"Godwin Boahen",2,1,25,12.5
"94",NA,"Marquell Fraser",2,1,28,14
"95",NA,"Jerimiah Usiosefe",2,1,25,12.5
"96",35,"Justin Jackson",2,1,27,13.5
"97",22,"Alex Christie",1,1,18,18
"98",3,"Dasha Lalor-Crooks",1,0,9,9
"99",7,"Brandon John",1,0,12,12
"100",21,"Nicholas Russell",1,0,7,7
"101",5,"Ryan Beddeo",1,0,17,17
"102",11,"Deleon Brown",1,0,23,23
"103",25,"Zach Cameron",1,0,3,3
"104",1,"Alpha Diallo",1,0,20,20
"105",21,"Malik Fitts",1,0,18,18
"106",10,"Rapolas Ivanauskas",1,0,35,35
"107",2,"CJ Keyser",1,0,18,18
"108",4,"Jack Lieb",1,0,13,13
"109",12,"Conor Peterson",1,0,1,1
"110",3,"Jake Rudolph",1,0,13,13
"111",0,"Semih Say",1,0,10,10
"112",23,"Aaren Smith",1,0,2,2
"113",35,"Taurean Thompson",1,0,27,27
"114",3,"Kai Toews",2,1,66,33
"115",4,"Joey Downes",2,1,72,36
"116",12,"Malcolm Moye",2,0,30,15
"117",21,"Elijah Campbell",2,0,43,21.5
"118",22,"Michael Sypniewski",2,0,6,3
"119",24,"Carter Skaggs",2,1,68,34
"120",30,"Maurice Brown",2,1,56,28
"121",32,"Sammy Linn",2,0,35,17.5
"122",33,"Webster Liao",2,1,12,6
"123",15,"Dino Bradaric",1,0,3,3
"124",20,"Danny Yu",1,0,8,8
"125",NA,"David Dileo",2,2,63,31.5
"126",NA,"Jimbo Lull",2,2,39,19.5
"127",NA,"Malik Massey",2,2,64,32
"128",NA,"Taylor Bennett",2,0,3,1.5
"129",NA,"Walker Miller",2,0,39,19.5
"130",NA,"Will Rayman",2,2,65,32.5
"131",NA,"Donovan Love",2,2,52,26
"132",NA,"Anthony Gaines",1,0,21,21
"133",NA,"Chris Stocks",1,0,23,23
"134",NA,"Will Swindells",1,0,21,21
"135",30,"Andrew Platek",3,0,34,11.3
"136",1,"Ian Sistare",2,1,59,29.5
"137",5,"Akeil Shakoor",2,0,36,18
"138",20,"Kellan Grady",2,1,52,26
"139",21,"Nick Seretta",2,1,35,17.5
"140",22,"Jerome Desrosiers",2,0,39,19.5
"141",25,"AJ Brodeur",2,1,46,23
"142",33,"Tomas Murphy",2,1,23,11.5
"143",34,"Chuck Hannas",2,0,25,12.5
"144",42,"David Reynolds",2,0,17,8.5
"145",44,"Matt DeWolf",2,0,10,5
"146",4,"Matt Donahue",1,0,3,3
"147",10,"Calvin Whipple",1,0,0,0
"148",15,"Patrick Racy",1,0,7,7
"149",32,"Nate Laszewski",1,0,8,8
"150",35,"Maxwell Lorca",1,0,9,9
"151",NA,"Christian Vital",5,1,86,17.2
"152",NA,"Omari Spellman",3,1,51,17
"153",NA,"Charlie Brown",2,1,55,27.5
"154",NA,"Arkel Ager-Lamar",2,1,45,22.5
"155",NA,"Kai Mitchell",2,0,24,12
"156",NA,"Julian Batts",2,1,63,31.5
"157",NA,"Canaan Bartley",2,0,36,18
"158",NA,"Ryogo Sumino",2,0,24,12
"159",NA,"Trey Witter",2,0,8,4
"160",NA,"EJ Crawford",1,0,10,10
"161",NA,"Milo Luciano",1,0,3,3
"162",NA,"Luke Olshtorn",1,0,10,10
"163",NA,"Mike Sagay",1,0,5,5
"164",NA,"Saul Phiri",2,0,45,22.5
"165",NA,"Mamadou Diarra",2,0,46,23
"166",NA,"Chuba Ohams",2,0,27,13.5
"167",NA,"Tyere Marshall",2,0,43,21.5
"168",NA,"Collin Sawyer",2,0,28,14
"169",NA,"Jaheam Cornwall",2,0,44,22
"170",NA,"Tyreek Perkins",2,0,42,21
"171",NA,"Eric Ayala",2,0,32,16
"172",NA,"Darnell Brodie",2,0,15,7.5
"173",NA,"Kevin Smith",2,0,13,6.5
"174",NA,"Danny Salamah",1,0,2,2
"175",NA,"Sean Delany",1,0,11,11
"176",NA,"Taurian Archie",1,0,3,3
"177",NA,"Brandon Steed",1,0,8,8
"178",NA,"Hamidou Diallo",1,0,14,14
"179",NA,"Brandon Hurst",1,0,5,5
"180",2,"Chris Childs",2,1,66,33
"181",3,"Miles Lester",2,1,51,25.5
"182",15,"Brenden Vessichio",2,1,59,29.5
"183",32,"Wenyen Gabriel",2,1,69,34.5
"184",33,"Brycen Harris",2,1,39,19.5
"185",10,"Dakota Wheeler",2,0,22,11
"186",12,"Julian Alexis",2,0,31,15.5
"187",21,"Phillip Borninkof",2,0,27,13.5
"188",11,"Evan Lanoue",1,0,9,9
"189",4,"Tyler Lennon",1,0,7,7
"190",5,"Aleem Ford",3,2,77,25.7
"191",12,"Jacob Winston",3,2,64,21.3
"192",22,"D'Mitrik Trice",3,2,108,36
"193",30,"KJ Smith",3,2,105,35
"194",2,"Trewston Pierce",3,1,85,28.3
"195",21,"Sam Mack Jr.",3,0,49,16.3
"196",24,"Ivo Van Tamm",3,1,64,21.3
"197",3,"Henry Woo",2,0,9,4.5
"198",1,"Jonathan Isaac",1,0,23,23
"199",4,"Chuck Igari",1,0,5,5
"200",20,"Sean Stem",1,0,3,3
"201",34,"Isaiah Herrera",1,0,8,8
"202",NA,"MIchael Porter Jr.",3,3,92,30.7
"203",NA,"Isaiah Wilson",3,2,91,30.3
"204",NA,"Mason Schlotzhauer",2,0,46,23
"205",21,"Kenan Brooks",2,2,31,15.5
"206",23,"Caleb Houghton",2,2,49,24.5
"207",NA,"Jontay Porter",1,1,30,30
"208",NA,"Tyler Harrison",1,0,1,1
"209",13,"Damon Jennings",1,0,7,7
"210",NA,"Brandon Randolph",2,1,66,33
"211",NA,"Mohamed Bamba",2,1,67,33.5
"212",NA,"Cameron Reddish",2,1,67,33.5
"213",NA,"Jair Bolden",1,0,31,31
"214",NA,"Najja Hunter",1,1,32,32
"215",NA,"Anthony Ochefu",1,0,7,7
"216",NA,"Leo Petit",1,0,1,1
"217",NA,"Bruce Brown",2,0,39,19.5
"218",NA,"Tyrique Jones",2,0,29,14.5
"219",22,"Will Brady",2,0,17,8.5
"220",34,"Marcos Santos-Silva",2,0,16,8
"221",NA,"Christian David",1,0,28,28
"222",NA,"Nick Brooks",1,0,3,3
"223",NA,"Bailey Patella",1,0,19,19
"224",NA,"Corey Romich",1,0,12,12
"225",4,"Greg Bowie",1,0,0,0
"226",3,"Jayson Hankins",2,1,33,16.5
"227",5,"De'Riante Jenkins",2,1,74,37
"228",10,"Braxton Beverly",2,1,75,37.5
"229",40,"Evan Wieck",2,1,48,24
"230",1,"Makale Foreman",1,0,19,19
"231",3,"Tim Cameron",1,0,29,29
"232",24,"Derek Funderburk",1,0,34,34
"233",32,"Austin Burnette",1,0,18,18
"234",12,"Brooks Ely",1,1,30,30
"235",NA,"Jeremy Williams",1,0,3,3
"236",11,"Seth McCoy",1,0,19,19
"237",20,"Cameron Hedgpath",1,0,20,20
"238",NA,"Sacha  Killeya-Jones",1,1,31,31
"239",NA,"Justice Kithcart",1,1,25,25
"240",NA,"Adam Sledd",1,1,24,24
"241",NA,"Kevin Quinn",1,1,26,26
"242",11,"Bryce Aiken",2,2,59,29.5
"243",13,"Cyril Langevine",2,2,48,24
"244",21,"Bul Ajang",2,0,17,8.5
"245",4,"Jamir Harris",2,2,53,26.5
"246",1,"Marcus McClary",2,2,40,20
"247",2,"Jordan Walker",2,0,53,26.5
"248",32,"Buay Koka",2,0,7,3.5
"249",25,"Fatir Hines",2,2,46,23
"250",3,"Brandt Roundtree",2,0,10,5
"251",33,"Al-Amir Dawes",1,0,9,9
"252",NA,"Christian Negron",1,0,27,27
"253",NA,"AJ Hunter",1,0,29,29
"254",NA,"Keyvon Kyles",1,0,32,32
"255",13,"Amir Coffey",1,0,0,0
"256",5,"Jullen Ison",1,0,0,0
"257",10,"Alex Johnson",1,0,0,0
"258",11,"Damari Milstead",1,0,0,0
"259",12,"Terrell Brown",1,0,0,0
"260",24,"Oscar Frayer",1,0,0,0
"261",NA,"Trae Young",1,0,0,0
"262",1,"Jamal Johnson",4,4,124,31
"263",50,"Austin Wiley",4,4,111,27.8
