"","#","Name","GP","GS","MIN","MPG","PPG","FGM","FGA","FG%","FTM","FTA","FT%","3PM","3PA","3P%","PTS","High","RPG","OFF","DEF","REB","AST","APG","TO","TOPG","STL","SPG","BLK","BLKPG","PF","PFPG","TF"
"1",10,"Andre Banton",2,0,26,13,3,3,10,0.3,0,0,0,0,2,0,6,4,2,1,3,4,4,2,3,1.5,0,0,0,0,2,1,0
"2",11,"Hudson Urbanus",2,0,38,19,8.5,6,16,0.375,0,0,0,5,12,0.417,17,11,1.5,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",20,"Jahmai George",2,0,31,15.5,0,0,6,0,0,0,0,0,3,0,0,0,NA,NA,NA,NA,2,1,2,1,0,0,1,0.5,5,2.5,0
"4",21,"Charles Minlend",2,0,55,27.5,12.5,10,30,0.333,2,4,0.5,3,9,0.333,25,15,2.5,0,5,5,3,1.5,3,1.5,2,1,0,0,2,1,0
"5",22,"Josh Brown",2,0,49,24.5,8.5,5,12,0.417,4,9,0.444,3,9,0.333,17,11,2,1,3,4,1,0.5,2,1,1,0.5,1,0.5,4,2,0
"6",24,"Lewis Freeman",2,0,49,24.5,10.5,8,15,0.533,0,0,0,5,7,0.714,21,13,7,2,12,14,1,0.5,1,0.5,1,0.5,0,0,3,1.5,0
"7",25,"Marcus Larsson",2,0,14,7,5,4,5,0.8,0,0,0,2,3,0.667,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",30,"Corey Douglas",2,0,52,26,5,5,12,0.417,0,2,0,0,0,0,10,6,9,9,9,18,4,2,2,1,1,0.5,1,0.5,3,1.5,0
"9",40,"Taylor Sweeney",2,0,30,15,3,2,5,0.4,0,0,0,2,5,0.4,6,6,2.5,1,4,5,1,0.5,1,0.5,0,0,0,0,2,1,0
"10",41,"Grant Clarke",2,0,15,7.5,0,0,2,0,0,0,0,0,2,0,0,0,1.5,1,2,3,1,0.5,0,0,0,0,2,1,3,1.5,0
"11",42,"Malik Kuwornu",2,0,33,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,6,1,0.5,0,0,1,0.5,2,1,6,3,0
"12",43,"Eddie Johnson-Clayton",1,0,9,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",42,"Malik Kuwornu",1,NA,NA,NA,6,3,9,0.333,0,0,0,0,0,0,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",20,"Jahmai George",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",25,"Marcus Larsson",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,2,2,0,0,0,0,1,1,0
"16",11,"Hudson Urbanus",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,1,1,0,0,2,2,0
"17",1,"Javonte Smart",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1,"Javonte Smart",12,NA,NA,NA,23,52,108,0.481,35,39,0.897,31,67,0.463,276,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",22,"Jordan Adebutu",5,NA,NA,NA,22,38,63,0.603,16,21,0.762,7,21,0.333,110,30,7.6,13,15,38,19,3.8,4,0.8,11,2.2,1,0.2,4,0.8,0
"20",24,"Garrick Green",4,NA,NA,NA,14,23,37,0.622,9,16,0.562,1,4,0.25,56,18,7.5,14,16,30,4,1,4,1,7,1.8,13,3.2,5,1.2,0
"21",15,"Malik Williams",5,NA,NA,NA,10.2,18,32,0.562,9,9,1,6,12,0.5,51,14,4.6,11,12,23,9,1.8,2,0.4,18,3.6,1,0.2,1,0.2,0
"22",3,"Jaylen Hawkins",3,NA,NA,NA,9.3,10,15,0.667,2,3,0.667,6,9,0.667,28,16,2,3,3,6,7,2.3,3,1,5,1.7,0,0,4,1.3,0
"23",12,"Levi Lewis",3,NA,NA,NA,5,5,10,0.5,4,6,0.667,1,3,0.333,15,8,NA,NA,NA,NA,8,2.7,2,0.7,5,1.7,0,0,3,1,0
"24",23,"Joshua Roberts",2,NA,NA,NA,4.5,4,11,0.364,0,0,0,1,6,0.167,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",5,"Lamarq Williams",1,NA,NA,NA,2,1,2,0.5,0,0,0,0,0,0,2,2,5,1,4,5,0,0,1,1,0,0,0,0,1,1,0
"26",1,"Javonte Smart",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,6,30,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2,"Bryce Beekman",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",12,"Levi Lewis",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",23,"Joshua Roberts",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,5,6,4,4,2,2,3,3,0,0,2,2,0
"30",1,"Javonte Smart",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,5.4,17,1.5,20,1.8,13,1.2,14,1.3,0
"31",1,"Javonte Smart",2,NA,NA,NA,20.5,5,13,0.385,7,8,0.875,0,3,0,41,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",22,"Jordan Adebutu",1,NA,NA,NA,11,0,0,0,0,0,0,0,0,0,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1,"Javonte Smart",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",22,"Jordan Adebutu",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1,"Javonte Smart",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,3,1.5,0,0,0,0,4,2,0
"36",22,"Jordan Adebutu",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,0,2,2,0,0,0,0,0
"37",2,"Jandan Duggan",2,0,16,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",4,"Justin Forrest",2,2,58,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",5,"Precious Ayah",2,2,50,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",10,"John Ogwuche",2,2,60,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",12,"Victor Enoh",2,1,56,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
