"Previous.National.Ranking","Name","Hometown","Position","Height.Weight","Rating","All Ratings","National.Ranking","Position.Ranking","State.Ranking","player.id","Season"
"1","Malik Newman"," Callaway (Jackson, MS)  "," PG "," 6-3 / 174 ","100"," 8 1 1 ","8","1","1","malik-newman",2015
"2","Isaiah Briscoe"," Roselle Catholic (Newark, NJ)  "," PG "," 6-3.5 / 200 ","99"," 12 2 1 ","12","2","1","isaiah-briscoe",2015
"3","Derryck Thornton"," Findlay Prep (Henderson, NV)  "," PG "," 6-2 / 182 ","99"," 14 3 2 ","14","3","2","derryck-thornton",2015
"6","Jawun Evans"," Kimball (Dallas, TX)  "," PG "," 6-0 / 165 ","99"," 27 6 1 ","27","6","1","jawun-evans",2015
"7","Tyler Dorsey"," Maranatha (Los Angeles, CA)  "," PG "," 6-4 / 180 ","98"," 28 7 2 ","28","7","2","tyler-dorsey",2015
"4","Jalen Brunson"," Adlai Stevenson (Lincolnshire, IL)  "," PG "," 6-1.5 / 190 ","98"," 22 4 1 ","22","4","1","jalen-brunson",2015
"5","Jalen Adams"," Brewster Academy (Ashburnham, MA)  "," PG "," 6-2 / 170 ","98"," 23 5 1 ","23","5","1","jalen-adams",2015
"9","Jalen Coleman-Lands"," La Lumiere School (Indianapolis, IN)  "," PG "," 6-3 / 160 ","97"," 37 9 2 ","37","9","2","jalen-coleman-lands",2015
"10","Aaron Holiday"," Campbell Hall School (Valley Village, CA)  "," PG "," 6-1 / 175 ","97"," 54 10 6 ","54","10","6","aaron-holiday",2015
"8","Justin Simon"," Brewster Academy (Temecula, CA)  "," PG "," 6-4 / 190 ","97"," 33 8 3 ","33","8","3","justin-simon",2015
"11","Glynn Watson"," St. Joseph (Westchester, IL)  "," PG "," 6-0 / 160 ","94"," 76 11 3 ","76","11","3","glynn-watson",2015
"18","Kendall Small"," Mayfair (Lakewood, CA)  "," PG "," 6-1 / 160 ","93"," 113 18 13 ","113","18","13","kendall-small",2015
"37","Damontrae Jefferson"," Believe Prep Academy (Rock Hill, SC)  "," PG "," 5-7 / 150 ","93"," 214 37 3 ","214","37","3","damontrae-jefferson",2015
"26","Nick Noskowiak"," Sun Prairie (Sun Prairie, WI)  "," PG "," 6-2 / 180 ","93"," 145 26 5 ","145","26","5","nick-noskowiak",2015
"19","Federico Mussini"," Liceo Scientifico Aldo Moro (Reggio Emilia, RE)  "," PG "," 6-0 / 160 ","93"," 115 19 1 ","115","19","1","federico-mussini",2015
"15","Bryant Crawford"," Gonzaga  (Washington, DC)  "," PG "," 6-3 / 170 ","92"," 99 15 1 ","99","15","1","bryant-crawford",2015
"13","Corey Sanders"," West Oaks Academy (LAKELAND, FL)  "," PG "," 6-1 / 170 ","92"," 91 13 10 ","91","13","10","corey-sanders",2015
"14","Marcus LoVett"," Morgan Park (Chicago, IL)  "," PG "," 6-0 / 170 ","92"," 97 14 12 ","97","14","12","marcus-lovett",2015
"23","Jesse Wade"," Davis (Kaysville, UT)  "," PG "," 6-1 / 170 ","90"," 132 23 1 ","132","23","1","jesse-wade",2015
"20","Kevin Dorsey"," Paul VI Catholic (Waldorf, MD)  "," PG "," 6-0 / 170 ","90"," 125 20 8 ","125","20","8","kevin-dorsey",2015
"31","Randall Broddie"," Potomac (Oxon Hill, MD)  "," PG "," 6-2 / 165 ","90"," 169 31 4 ","169","31","4","randall-broddie",2015
"28","William Jackson"," Athens Christian (Athens, GA)  "," PG "," 6-4 / 175 ","89"," 156 28 11 ","156","28","11","william-jackson",2015
"25","Lamonte Turner"," IMG Academy (Harvest, AL)  "," PG "," 6-1 / 190 ","89"," 144 25 16 ","144","25","16","lamonte-turner",2015
"33","Jarvis Johnson"," DeLaSalle (Minneapolis, MN)  "," PG "," 6-1 / 170 ","89"," 179 33 2 ","179","33","2","jarvis-johnson",2015
"12","A.J. Harris"," Dunbar (Dayton, OH)  "," PG "," 5-9 / 160 ","89"," 83 12 4 ","83","12","4","aj-harris",2015
"27","Justin Jenifer"," Milford Mill Academy (Gwynn Oak, MD)  "," PG "," 5-9 / 160 ","89"," 153 27 3 ","153","27","3","justin-jenifer",2015
"29","Sedrick Barefield"," Centennial (Corona, CA)  "," PG "," 6-1 / 170 ","89"," 157 29 17 ","157","29","17","sedrick-barefield",2015
"22","K.J. Walton"," Brownsburg (Brownsburg, IN)  "," PG "," 6-3 / 175 ","89"," 131 22 5 ","131","22","5","kj-walton",2015
"21","Traci Carter"," Life Center Academy (Burlington, NJ)  "," PG "," 6-0 / 165 ","89"," 127 21 4 ","127","21","4","traci-carter",2015
"35","Samir Doughty"," Math Civics And Sciences Cs (Philadelphia, PA)  "," PG "," 6-3 / 170 ","89"," 205 35 6 ","205","35","6","samir-doughty",2015
"16","Justin Robinson"," St. James School (Manassas, VA)  "," PG "," 6-1 / 170 ","89"," 101 16 2 ","101","16","2","justin-robinson",2015
"30","Terrence Phillips"," Oak Hill Academy (Mouth Of Wilson, VA)  "," PG "," 5-11 / 175 ","89"," 165 30 9 ","165","30","9","terrence-phillips",2015
"17","Ty Hudson"," Pebblebrook (Mableton, GA)  "," PG "," 6-1 / 200 ","89"," 109 17 7 ","109","17","7","ty-hudson",2015
"32","David Crisp"," Rainier Beach (Seattle, WA)  "," PG "," 6-1 / 180 ","89"," 174 32 4 ","174","32","4","david-crisp",2015
"60","Dylan Smith"," Hoover (Mobile, AL)  "," PG "," 6-5 / 175 ","88"," 304 60 6 ","304","60","6","dylan-smith",2015
"44","Ryan McMahon"," Cardinal Mooney (Sarasota, FL)  "," PG "," 5-11 / 165 ","88"," 237 44 28 ","237","44","28","ryan-mcmahon",2015
"24","Paris Austin"," Bishop O'Dowd (Oakland, CA)  "," PG "," 5-11 / 160 ","88"," 139 24 16 ","139","24","16","paris-austin",2015
"39","Austin Conway"," Overland (Aurora, CO)  "," PG "," 5-10 / 170 ","88"," 216 39 1 ","216","39","1","austin-conway",2015
"34","Hyron Edwards"," East Chicago Central (East Chicago, IN)  "," PG "," 5-11 / 160 ","88"," 194 34 10 ","194","34","10","hyron-edwards",2015
"51","Nych Smith"," White Station (Memphis, TN)  "," PG "," 5-11 / 160 ","88"," 255 51 6 ","255","51","6","nych-smith",2015
"45","Luwane Pipkins"," Bogan (Chicago, IL)  "," PG "," 5-9 / 160 ","88"," 238 45 12 ","238","45","12","luwane-pipkins",2015
"36","Tookie Brown"," Morgan County (Madison, GA)  "," PG "," 5-11 / 180 ","88"," 212 36 14 ","212","36","14","tookie-brown",2015
"68","Khari Willis"," Lumen Christi (Jackson, MI)  "," PG "," 6-0 / 187 ","88"," 324 68 6 ","324","68","6","khari-willis",2015
"46","James Bolden"," Holmes Junior Senior (Covington, KY)  "," PG "," 6-0 / 160 ","88"," 240 46 5 ","240","46","5","james-bolden",2015
"41","JoJo Anderson"," La Lumiere School (Houston, TX)  "," PG "," 6-3 / 156 ","88"," 220 41 12 ","220","41","12","jojo-anderson",2015
