"National.Ranking","Name","Position","Hometown.High.School","Height","Weight","Rating","School","player.id","bball.ref.link"
"1","Marvin Bagley, III","PF","Phoenix, AZSierra Canyon High School","6'11''","220","98","Duke","marvin-bagleyiii","https://www.sports-reference.com/cbb/players/marvin-bagleyiii-1.html"
"2","Michael Porter Jr.","SF","Seattle, WANathan Hale High School","6'10''","215","97","Missouri","michael-porterjr","https://www.sports-reference.com/cbb/players/michael-porterjr-1.html"
"3","DeAndre Ayton","C","Phoenix, AZHillcrest Prep","7'0''","220","97","Arizona","deandre-ayton","https://www.sports-reference.com/cbb/players/deandre-ayton-1.html"
"4","Mohamed Bamba","C","Harlem, NYWesttown School","7'0''","216","96","Texas","mohamed-bamba","https://www.sports-reference.com/cbb/players/mohamed-bamba-1.html"
"5","Wendell Carter","PF","Atlanta, GAPace Academy","6'9''","255","96","Duke","wendell-carter","https://www.sports-reference.com/cbb/players/wendell-carter-1.html"
"6","Trevon Duval","PG","Wilmington, DEIMG Academy","6'3''","191","96","Duke","trevon-duval","https://www.sports-reference.com/cbb/players/trevon-duval-1.html"
"7","Collin Sexton","PG","Mableton, GAPebblebrook High School","6'3''","175","95","Alabama","collin-sexton","https://www.sports-reference.com/cbb/players/collin-sexton-1.html"
"8","Gary Trent Jr.","SG","Apple Valley, MNProlific Prep","6'5''","200","95","Duke","gary-trentjr","https://www.sports-reference.com/cbb/players/gary-trentjr-1.html"
"9","Jaren Jackson","PF","Indianapolis, INLa Lumiere School","6'11''","225","95","Michigan St","jaren-jackson","https://www.sports-reference.com/cbb/players/jaren-jackson-1.html"
"10","Kevin Knox","SF","Tampa, FLTampa Catholic High School","6'9''","206","95","Kentucky","kevin-knox","https://www.sports-reference.com/cbb/players/kevin-knox-1.html"
"11","Mitchell Robinson","C","New Orleans, LAChalmette High School","6'11''","215","95","unknown","mitchell-robinson","https://www.sports-reference.com/cbb/players/mitchell-robinson-1.html"
"12","P.J. Washington","PF","Las Vegas, NVFindlay College Prep","6'8''","230","95","Kentucky","pj-washington","https://www.sports-reference.com/cbb/players/pj-washington-1.html"
