"National.Ranking","Name","Position","Hometown.High.School","Height","Weight","Rating","School","player.id","bball.ref.link.espn","link","Name","Position","Height.Weight","Hometown","High.School","College"
1,"Danjel Purifoy","SF","Centerville, ALHargrave Military Academy","6'7''",210,85,"Auburn","danjel-purifoy","https://www.sports-reference.com/cbb/players/danjel-purifoy-1.html","https://www.sports-reference.com/cbb/players/danjel-purifoy-1.html","Danjel Purifoy","        Forward  ","6-7, 230lb (201cm, 104kg) ","   Centreville, AL","   Hargrave Military Academy","Auburn"
2,"Donta' Hall","PF","Luverne, ALLuverne High School","6'8''",205,83,"Alabama","donta-hall","https://www.sports-reference.com/cbb/players/donta-hall-1.html","https://www.sports-reference.com/cbb/players/donta-hall-1.html","Donta Hall","        Forward  ","6-9, 230lb (206cm, 104kg) ","   Luverne, AL","   Luverne HS","Alabama"
4,"Dazon Ingram","SG","Theodore, ALTheodore High School","6'5''",183,80,"Alabama","dazon-ingram","https://www.sports-reference.com/cbb/players/dazon-ingram-1.html","https://www.sports-reference.com/cbb/players/dazon-ingram-1.html","Dazon Ingram","        Guard  ","6-5, 210lb (196cm, 95kg) ","   Theodore, AL","   Theodore HS","Alabama"
5,"Lamonte Turner","PG","Huntsville, ALArlington Country Day School","6'1''",175,80,"Tennessee","lamonte-turner","https://www.sports-reference.com/cbb/players/lamonte-turner-1.html","https://www.sports-reference.com/cbb/players/lamonte-turner-1.html","Lamonte Turner","        Guard  ","6-2, 195lb (188cm, 88kg) ","   Florence, AL","   Arlington Country Day School","Tennessee"
6,"Brandon Austin","SF","Montgomery, ALCarver High School","6'5''",180,79,"Alabama","brandon-austin","https://www.sports-reference.com/cbb/players/brandon-austin-1.html","https://www.sports-reference.com/cbb/players/brandon-austin-1.html","Brandon Austin","        Guard  ","6-5, 200lb (196cm, 90kg) ","   Montgomery, AL","   Carver-Montgomery HS","Schools: Alabama and Samford"
1,"Craig Randall","PG","Phoenix, AZShadow Mountain High School","6'4''",190,79,"Memphis","craig-randall","https://www.sports-reference.com/cbb/players/craig-randall-1.html","https://www.sports-reference.com/cbb/players/craig-randall-1.html","Craig Randall","        Guard  ","6-4, 185lb (193cm, 83kg) ","   Youngstown, OH","   Shadow Mountain HS","Schools: Memphis and UT-Martin"
2,"Dane Kuiper","SF","Tempe, AZCorona Del Sol High School","6'6''",190,75,"New Mexico","dane-kuiper","https://www.sports-reference.com/cbb/players/dane-kuiper-1.html","https://www.sports-reference.com/cbb/players/dane-kuiper-1.html","Dane Kuiper","        Forward-Guard  ","6-7, 205lb (201cm, 92kg) ","   Wasilla, AK","   Corona del Sol HS","New Mexico"
4,"Sammy Barnes-Thompkins","SG","Phoenix, AZSunnyslope High School","6'3''",175,65,"Boston College","sammy-barnes-thompkins","https://www.sports-reference.com/cbb/players/sammy-barnes-thompkins-1.html","https://www.sports-reference.com/cbb/players/sammy-barnes-thompkins-1.html","Sammy Barnes-Thompkins","        Guard  ","6-3, 192lb (190cm, 87kg) ","   Phoenix, AZ","   Sunnyslope HS","Boston College"
9,"Kenzo Nudo","SG","Scottsdale, AZChaparral High School","6'3''",185,59,"Grand Canyon","kenzo-nudo","https://www.sports-reference.com/cbb/players/kenzo-nudo-1.html","https://www.sports-reference.com/cbb/players/kenzo-nudo-1.html","Kenzo Nudo","        Guard  ","6-4, 200lb (193cm, 90kg) ","   Scottsdale, AZ","   Chaparral HS","Grand Canyon"
1,"KeVaughn Allen","SG","Little Rock, ARNorth Little Rock High School","6'3''",170,85,"Florida","kevaughn-allen","https://www.sports-reference.com/cbb/players/kevaughn-allen-1.html","https://www.sports-reference.com/cbb/players/kevaughn-allen-1.html","KeVaughn Allen","        Guard  ","6-2, 193lb (188cm, 87kg) ","   Little Rock, AR","   North Little Rock HS","Florida"
