"National.Ranking.espn","Name.espn","Position.espn","Hometown.High.School","Height.espn","Weight.espn","Rating.espn","School","player.id.espn","bball.ref.link.espn","link","Name","Position","Height.Weight","Hometown","High.School","College"
1,"John Petty","SG","Huntsville, ALJemison High School","6'5''",185,93,"Alabama","john-petty","https://www.sports-reference.com/cbb/players/john-petty-1.html","https://www.sports-reference.com/cbb/players/john-petty-2.html","John Petty","        Guard  ","6-5, 197lb (196cm, 89kg) ","   Huntsville, AL","   J.O. Johnson High School","Alabama"
2,"Alex Reese","PF","Pelham, ALPelham High School","6'9''",220,82,"Alabama","alex-reese","https://www.sports-reference.com/cbb/players/alex-reese-1.html","https://www.sports-reference.com/cbb/players/alex-reese-1.html","Alex Reese","        Forward  ","6-9, 238lb (206cm, 107kg) ","   Pelham, AL","   Pelham High School","Alabama"
3,"Garrison Brooks","C","Auburn, ALLafayette High School","6'8''",230,81,"UNC","garrison-brooks","https://www.sports-reference.com/cbb/players/garrison-brooks-1.html","https://www.sports-reference.com/cbb/players/garrison-brooks-1.html","Garrison Brooks","        Forward  ","6-9, 230lb (206cm, 104kg) ","   Lafayette, AL","   Auburn HS","UNC"
5,"Herb Jones","SF","Newbern, ALHale County High School","6'5''",180,79,"Alabama","herb-jones","https://www.sports-reference.com/cbb/players/herb-jones-1.html","https://www.sports-reference.com/cbb/players/herb-jones-3.html","Herb Jones","        Guard  ","6-7, 206lb (201cm, 93kg) ","   Greensboro, AL","   Hale County High School","Alabama"
6,"Kevion Nolan","PG","Anniston, ALSacred Heart of Jesus Catholic School","6'1''",150,78,"Samford","kevion-nolan","https://www.sports-reference.com/cbb/players/kevion-nolan-1.html","https://www.sports-reference.com/cbb/players/kevion-nolan-1.html","Kevion Nolan","        Guard  ","6-2, 170lb (188cm, 77kg) ","   Anniston, AL","   Sacred Heart of Jesus Catholic School","Samford"
1,"DeAndre Ayton","C","Phoenix, AZHillcrest Prep","7'0''",220,97,"Arizona","deandre-ayton","https://www.sports-reference.com/cbb/players/deandre-ayton-1.html","https://www.sports-reference.com/cbb/players/deandre-ayton-1.html","Deandre Ayton","        Forward  ","7-1, 250lb (216cm, 113kg) ","   Nassau, Bahamas","   Hillcrest Academy","Arizona"
2,"Marvin Bagley, III","PF","Phoenix, AZSierra Canyon High School","6'11''",220,98,"Duke","marvin-bagleyiii","https://www.sports-reference.com/cbb/players/marvin-bagleyiii-1.html","https://www.sports-reference.com/cbb/players/marvin-bagleyiii-1.html","Marvin Bagley III","        Forward  ","6-11, 234lb (211cm, 106kg) ","   Phoenix, AZ","   Sierra Canyon School","Duke"
3,"Alex Barcello","SG","Phoenix, AZCorona Del Sol High School","6'2''",175,83,"Arizona","alex-barcello","https://www.sports-reference.com/cbb/players/alex-barcello-1.html","https://www.sports-reference.com/cbb/players/alex-barcello-1.html","Alex Barcello","        Guard  ","6-2, 180lb (188cm, 81kg) ","   Chandler, AZ","   Corona del Sol High School","Arizona"
4,"Chris Sodom","C","Phoenix, AZTennessee Prep Academy","7'2''",225,80,"Georgetown","chris-sodom","https://www.sports-reference.com/cbb/players/chris-sodom-1.html","https://www.sports-reference.com/cbb/players/chris-sodom-1.html","Chris Sodom","        Center  ","7-3, 220lb (221cm, 99kg) ","   Kaduna, Nigeria","   Tennessee Prep Academy","Georgetown"
9,"Holland Woods","PG","Glendale, AZApollo High School","6'0''",170,63,"Portland State","holland-woods","https://www.sports-reference.com/cbb/players/holland-woods-1.html","https://www.sports-reference.com/cbb/players/holland-woods-1.html","Holland Woods","        Guard  ","6-0, 170lb (183cm, 77kg) ","   Phoenix, AZ","   Apollo High School","Portland State"
2,"Khalil Garland","SF","Little Rock, ARParkview Arts & Science Magnet High","6'6''",190,86,"Arkansas","khalil-garland","https://www.sports-reference.com/cbb/players/khalil-garland-1.html","https://www.sports-reference.com/cbb/players/khalil-garland-1.html","Khalil Garland","        Guard  ","6-5, 198lb (196cm, 89kg) ","   Little Rock, AR","   Parkview HS","Arkansas"
1,"Brandon McCoy","C","San Diego, CACathedral Catholic High School","6'11''",244,93,"UNLV","brandon-mccoy","https://www.sports-reference.com/cbb/players/brandon-mccoy-1.html","https://www.sports-reference.com/cbb/players/brandon-mccoy-1.html","Brandon McCoy","        Forward  ","7-1, 250lb (216cm, 113kg) ","   Chicago, IL","   Cathedral Catholic High School","UNLV"
