"National.Ranking.espn","Name.espn","Position.espn","Hometown.High.School","Height","Weight","Rating.espn","School","player.id","bball.ref.link.espn","Previous.National.Ranking","Name.247","Hometown","Position.247","Height.Weight","Rating.247","All Ratings","National.Ranking.247","Position.Ranking","State.Ranking","bball.ref.link.247","Name","Position","Height.Weight","Hometown","High.School","College"
1,"Marvin Bagley, III","PF","Phoenix, AZSierra Canyon High School","6'11''",220,98,"Duke","marvin-bagleyiii","https://www.sports-reference.com/cbb/players/marvin-bagleyiii-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marvin Bagley III","        Forward  ","6-11, 234lb (211cm, 106kg) ","   Phoenix, AZ","   Sierra Canyon School","Duke"
2,"Michael Porter Jr.","SF","Seattle, WANathan Hale High School","6'10''",215,97,"Missouri","michael-porterjr","https://www.sports-reference.com/cbb/players/michael-porterjr-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Michael Porter Jr.","        Forward  ","6-10, 215lb (208cm, 97kg) ","   Columbia, MO","   Nathan Hale High School","Missouri"
3,"DeAndre Ayton","C","Phoenix, AZHillcrest Prep","7'0''",220,97,"Arizona","deandre-ayton","https://www.sports-reference.com/cbb/players/deandre-ayton-1.html",5,"Deandre Ayton","Hillcrest Hoops (Phoenix, AZ)","PF","7-0 / 250",0.9992,"4 3 2",4,3,2,"https://www.sports-reference.com/cbb/players/deandre-ayton-1.html","Deandre Ayton","        Forward  ","7-1, 250lb (216cm, 113kg) ","   Nassau, Bahamas","   Hillcrest Academy","Arizona"
4,"Mohamed Bamba","C","Harlem, NYWesttown School","7'0''",216,96,"Texas","mohamed-bamba","https://www.sports-reference.com/cbb/players/mohamed-bamba-1.html",3,"Mohamed Bamba","Westtown School (New York, NY)","PF","7-0 / 216",0.9993,"3 2 1",3,2,1,"https://www.sports-reference.com/cbb/players/mohamed-bamba-1.html","Mohamed Bamba","        Forward  ","6-11, 225lb (211cm, 102kg) ","   Harlem, NY","   Westtown School","Texas"
5,"Wendell Carter","PF","Atlanta, GAPace Academy","6'9''",255,96,"Duke","wendell-carter","https://www.sports-reference.com/cbb/players/wendell-carter-1.html",10,"Wendell Carter","Pace Academy (Atlanta, GA)","PF","6-10 / 262",0.9981,"7 4 2",7,4,2,"https://www.sports-reference.com/cbb/players/wendell-carter-1.html","Wendell Carter Jr.","        Forward  ","6-10, 259lb (208cm, 117kg) ","   Atlanta, GA","   Pace Academy","Duke"
6,"Trevon Duval","PG","Wilmington, DEIMG Academy","6'3''",191,96,"Duke","trevon-duval","https://www.sports-reference.com/cbb/players/trevon-duval-1.html",7,"Trevon Duval","IMG Academy (Bradenton, FL)","PG","6-3 / 190",0.9981,"6 2 1",6,2,1,"https://www.sports-reference.com/cbb/players/trevon-duval-1.html","Trevon Duval","        Guard  ","6-3, 186lb (190cm, 84kg) ","   New Castle, DE","   IMG Academy","Duke"
7,"Collin Sexton","PG","Mableton, GAPebblebrook High School","6'3''",175,95,"Alabama","collin-sexton","https://www.sports-reference.com/cbb/players/collin-sexton-1.html",4,"Collin Sexton","Pebblebrook (Mableton, GA)","PG","6-2 / 182",0.9981,"5 1 1",5,1,1,"https://www.sports-reference.com/cbb/players/collin-sexton-1.html","Collin Sexton","        Guard  ","6-3, 190lb (190cm, 86kg) ","   Mableton, GA","   Pebblebrook High School","Alabama"
8,"Gary Trent Jr.","SG","Apple Valley, MNProlific Prep","6'5''",200,95,"Duke","gary-trentjr","https://www.sports-reference.com/cbb/players/gary-trentjr-1.html",17,"Gary Trent Jr.","Prolific Prep (Napa, CA)","SG","6-5 / 213",0.9943,"17 3 4",17,3,4,"https://www.sports-reference.com/cbb/players/gary-trentjr-1.html","Gary Trent Jr.","        Guard  ","6-6, 209lb (198cm, 94kg) ","   Columbus, OH","   Prolific Prep","Duke"
10,"Kevin Knox","SF","Tampa, FLTampa Catholic High School","6'9''",206,95,"Kentucky","kevin-knox","https://www.sports-reference.com/cbb/players/kevin-knox-1.html",18,"Kevin Knox","Tampa Catholic (Tampa, FL)","SF","6-9 / 206",0.9959,"11 2 3",11,2,3,"https://www.sports-reference.com/cbb/players/kevin-knox-1.html","Kevin Knox","        Forward  ","6-9, 215lb (206cm, 97kg) ","   Tampa, FL","   Tampa Catholic High School","Kentucky"
12,"P.J. Washington","PF","Las Vegas, NVFindlay College Prep","6'8''",230,95,"Kentucky","pj-washington","https://www.sports-reference.com/cbb/players/pj-washington-1.html",19,"PJ Washington","Findlay Prep (Dallas, TX)","PF","6-8 / 230",0.9947,"15 7 2",15,7,2,"https://www.sports-reference.com/cbb/players/pj-washington-1.html","PJ Washington","        Forward  ","6-7, 236lb (201cm, 107kg) ","   Dallas, TX","   Findlay College Prep","Kentucky"
15,"Troy Brown Jr.","SF","Las Vegas, NVCentennial High School","6'7''",215,93,"Oregon","troy-brownjr","https://www.sports-reference.com/cbb/players/troy-brownjr-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Troy Brown","        Forward  ","6-7, 215lb (201cm, 97kg) ","   Las Vegas, NV","   Centennial High School","Oregon"
16,"Brandon McCoy","C","San Diego, CACathedral Catholic High School","6'11''",244,93,"UNLV","brandon-mccoy","https://www.sports-reference.com/cbb/players/brandon-mccoy-1.html",16,"Brandon McCoy","Cathedral Catholic (San Diego, CA)","PF","6-11 / 244",0.9951,"14 6 3",14,6,3,"https://www.sports-reference.com/cbb/players/brandon-mccoy-1.html","Brandon McCoy","        Forward  ","7-1, 250lb (216cm, 113kg) ","   Chicago, IL","   Cathedral Catholic High School","UNLV"
17,"Nick Richards","C","Queens, NYThe Patrick School","6'11''",239,93,"Kentucky","nick-richards","https://www.sports-reference.com/cbb/players/nick-richards-1.html",15,"Nick Richards","St. Patrick (Manhasset, NY)","C","7-0 / 239",0.9943,"18 2 1",18,2,1,"https://www.sports-reference.com/cbb/players/nick-richards-1.html","Nick Richards","        Forward  ","6-11, 240lb (211cm, 108kg) ","   Kingston, Jamaica","   The Patrick School","Kentucky"
19,"Jarred Vanderbilt","PF","Houston, TXVictory Prep Academy","6'8''",200,93,"Kentucky","jarred-vanderbilt","https://www.sports-reference.com/cbb/players/jarred-vanderbilt-1.html",9,"Jarred Vanderbilt","Victory Prep (Bellaire, TX)","SF","6-9 / 213",0.9955,"12 3 1",12,3,1,"https://www.sports-reference.com/cbb/players/jarred-vanderbilt-1.html","Jarred Vanderbilt","        Forward  ","6-9, 214lb (206cm, 97kg) ","  High School: Victory Prep School","RSCI Top 100: 13 (2017)","Kentucky"
20,"Jaylen Hands","PG","San Diego, CAFoothills Christian High School","6'3''",170,93,"UCLA","jaylen-hands","https://www.sports-reference.com/cbb/players/jaylen-hands-1.html",21,"Jaylen Hands","Mater Dei Catholic (Chula Vista, CA)","PG","6-2 / 170",0.9918,"22 3 5",22,3,5,"https://www.sports-reference.com/cbb/players/jaylen-hands-1.html","Jaylen Hands","        Guard  ","6-3, 175lb (190cm, 79kg) ","   San Diego, CA","   Foothills Christian","UCLA"
21,"Nickeil Alexander-Walker","SG","Toronto, Ontario, CANHamilton Heights Christian Academy","6'5''",195,93,"Virginia Tech","nickeil-alexander-walker","https://www.sports-reference.com/cbb/players/nickeil-alexander-walker-1.html",37,"Nickeil Alexander-Walker","Hamilton Heights Christian Academy (Toronto, ON)","SG","6-5 / 175",0.986,"40 9 1",40,9,1,"https://www.sports-reference.com/cbb/players/nickeil-alexander-walker-1.html","Nickeil Alexander-Walker","        Guard  ","6-5, 210lb (196cm, 95kg) ","   Toronto, Canada","   Hamilton Heights Christian Academy","Virginia Tech"
22,"John Petty","SG","Huntsville, ALJemison High School","6'5''",185,93,"Alabama","john-petty","https://www.sports-reference.com/cbb/players/john-petty-1.html",34,"John Petty","Jemison (Huntsville, AL)","SG","6-5 / 180",0.9878,"33 5 1",33,5,1,"https://www.sports-reference.com/cbb/players/john-petty-1.html","John Petty","        Guard  ","6-5, 195lb (196cm, 88kg) ","   Huntsville, AL","   J.O. Johnson High School","Alabama"
23,"Trae Young","PG","Norman, OKNorman North High School","6'2''",170,93,"Oklahoma","trae-young","https://www.sports-reference.com/cbb/players/trae-young-1.html",30,"Trae Young","Norman North (Norman, OK)","PG","6-2 / 176",0.9915,"23 4 1",23,4,1,"https://www.sports-reference.com/cbb/players/trae-young-1.html","Trae Young","        Guard  ","6-2, 180lb (188cm, 81kg) ","   Norman, OK","   Norman High School","Oklahoma"
24,"Quade Green","PG","Philadelphia, PANeumann-Goretti High School","6'1''",170,92,"Kentucky","quade-green","https://www.sports-reference.com/cbb/players/quade-green-1.html",33,"Quade Green","Neumann Goretti (Philadelphia, PA)","PG","6-1 / 177",0.9907,"26 5 3",26,5,3,"https://www.sports-reference.com/cbb/players/quade-green-1.html","Quade Green","        Guard  ","6-0, 180lb (183cm, 81kg) ","   Philadelphia, PA","   Neumann-Goretti High School","Kentucky"
25,"Jontay Porter","PF","Seattle, WANathan Hale High School","6'10''",240,92,"Missouri","jontay-porter","https://www.sports-reference.com/cbb/players/jontay-porter-1.html",26,"Jontay Porter","Nathan Hale (Seattle, WA)","PF","6-10 / 225",0.991,"25 9 2",25,9,2,"https://www.sports-reference.com/cbb/players/jontay-porter-1.html","Jontay Porter","        Forward  ","6-11, 240lb (211cm, 108kg) ","   Columbia, MO","   Nathan Hale High School","Missouri"
26,"Kris Wilkes","SF","Indianapolis, INNorth Central High School","6'7''",194,92,"UCLA","kris-wilkes","https://www.sports-reference.com/cbb/players/kris-wilkes-1.html",23,"Kris Wilkes","North Central (Indianapolis, IN)","SF","6-8 / 195",0.9924,"21 6 3",21,6,3,"https://www.sports-reference.com/cbb/players/kris-wilkes-1.html","Kris Wilkes","        Guard  ","6-8, 195lb (203cm, 88kg) ","   Indianapolis, IN","   North Central High School","UCLA"
28,"Jalek Felton","SG","Mullins, SCGray Collegiate Academy","6'3''",180,91,"UNC","jalek-felton","https://www.sports-reference.com/cbb/players/jalek-felton-1.html",38,"Jalek Felton","Gray Academy (Mullins, SC)","CG","6-2 / 175",0.9887,"30 1 1",30,1,1,"https://www.sports-reference.com/cbb/players/jalek-felton-1.html","Jalek Felton","        Guard  ","6-3, 190lb (190cm, 86kg) ","   West Columbia, SC","   Gray Collegiate Academy","UNC"
29,"Malik Williams","PF","Fort Wayne, INR. Nelson Snider High School","6'11''",215,90,"Louisville","malik-williams","https://www.sports-reference.com/cbb/players/malik-williams-1.html",31,"Malik Williams","R Nelson Snider (Fort Wayne, IN)","C","7-0 / 200",0.9899,"27 3 4",27,3,4,"https://www.sports-reference.com/cbb/players/malik-williams-1.html","Malik Williams","        Forward  ","6-11, 215lb (211cm, 97kg) ","   Fort Wayne, IN","   R. Nelson Snider High School","Louisville"
30,"Charles O'Bannon Jr.","SF","Las Vegas, NVBishop Gorman High School","6'6''",200,90,"USC","charles-obannonjr","https://www.sports-reference.com/cbb/players/charles-obannonjr-1.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Charles O'Bannon, Jr.","        Guard  ","6-6, 210lb (198cm, 95kg) ","   Compton, CA","   Bishop Gorman High School","USC"
